condition,description
psychotic disorder,"Psychosis is a condition of the mind or psyche that results in difficulties determining what is real and what is not real. Symptoms may include delusions and hallucinations, among other features. Additional symptoms are disorganized thinking and incoherent speech and behavior that is inappropriate for a given situation. There may also be sleep problems, social withdrawal, lack of motivation, and difficulties carrying out daily activities. Psychosis can have serious adverse outcomes."
frostbite,"Frostbite is a skin injury that occurs when someone is exposed to extremely low temperatures, causing the freezing of the skin or other tissues, commonly affecting the fingers, toes, nose, ears, cheeks and chin areas. Most often, frostbite occurs in the hands and feet. The initial symptoms are typically a feeling of cold and tingling or numbing. This may be followed by clumsiness with a white or bluish color to the skin. Swelling or blistering may occur following treatment. Complications may include hypothermia or compartment syndrome."
atrophy of the corpus cavernosum,"The development of the reproductive system is the part of embryonic growth that results in the sex organs and contributes to sexual differentiation. Due to its large overlap with development of the urinary system, the two systems are typically described together as the genitourinary system."
smoking or tobacco addiction,"Tobacco products, especially when smoked or used orally, have serious negative effects on human health. Smoking and smokeless tobacco use are the single greatest causes of preventable death globally. Half of tobacco users die from complications related to such use. Current smokers are estimated to die an average of 10 years earlier than non-smokers. The World Health Organization estimates that, in total, about 8 million people die from tobacco-related causes, including 1.3 million non-smokers due to secondhand smoke. It is further estimated to have caused 100 million deaths in the 20th century."
sprain or strain,"A sprain is a soft tissue injury of the ligaments within a joint, often caused by a sudden movement abruptly forcing the joint to exceed its functional range of motion. Ligaments are tough, inelastic fibers made of collagen that connect two or more bones to form a joint and are important for joint stability and proprioception, which is the body's sense of limb position and movement. Sprains may be mild, moderate, or severe, with the latter two classes involving some degree of tearing of the ligament. Sprains can occur at any joint but most commonly occur in the ankle, knee, or wrist. An equivalent injury to a muscle or tendon is known as a strain."
essential tremor,"Essential tremor (ET), also called benign tremor, familial tremor, and idiopathic tremor, is a medical condition characterized by involuntary rhythmic contractions and relaxations of certain muscle groups in one or more body parts of unknown cause. It is typically symmetrical, and affects the arms, hands, or fingers; but sometimes involves the head, vocal cords, or other body parts. Essential tremor is either an action (intention) tremor—it intensifies when one tries to use the affected muscles during voluntary movements such as eating and writing—or it is a postural tremor, which occurs when holding arms outstretched and against gravity. This means that it is distinct from a resting tremor, such as that caused by Parkinson's disease, which is not correlated with movement. Unlike Parkinson's disease, essential tremor may worsen with action."
open wound of the ear,"Ear mites are mites that live in the ears of animals. The most commonly seen species in veterinary medicine is Otodectes cynotis. This species, despite its name, is also responsible for 90% of ear mite infections in felines."
foreign body in the nose,"A foreign body (FB) is any object originating outside the body of an organism. In machinery, it can mean any unwanted intruding object."
idiopathic painful menstruation,"There are many cultural aspects surrounding how societies view menstruation. Different cultures view menstruation in different ways. The basis of many conduct norms and communication about menstruation in western industrial societies is the belief that menstruation should remain hidden. By contrast, in some indigenous hunter-gatherer societies, menstrual observances are viewed in a positive light, without any connotation of uncleanness. In most of India, menarche is celebrated as a rite of passage."
down syndrome,"Down syndrome or Down's syndrome, also known as trisomy 21, is a genetic disorder caused by the presence of all or part of a third copy of chromosome 21. It is usually associated with developmental delays, mild to moderate intellectual disability, and characteristic physical features."
idiopathic infrequent menstruation,"Anovulation is when the ovaries do not release an oocyte during a menstrual cycle. Therefore, ovulation does not take place. However, a woman who does not ovulate at each menstrual cycle is not necessarily going through menopause. Chronic anovulation is a common cause of infertility."
pneumothorax,"A pneumothorax is an abnormal collection of air in the pleural space between the lung and the chest wall. Symptoms typically include sudden onset of sharp, one-sided chest pain and shortness of breath. In a minority of cases, a one-way valve is formed by an area of damaged tissue, and the amount of air in the space between chest wall and lungs increases; this is called a tension pneumothorax. This can cause a steadily worsening oxygen shortage and low blood pressure. This leads to a type of shock called obstructive shock, which can be fatal unless reversed. Very rarely, both lungs may be affected by a pneumothorax. It is often called a ""collapsed lung"", although that term may also refer to atelectasis."
de quervain disease,"De Quervain syndrome occurs when two tendons that control movement of the thumb become constricted by their tendon sheath in the wrist. This results in pain and tenderness on the thumb side of the wrist. Radial abduction of the thumb is painful. On some occasions, there is uneven movement or triggering of the thumb with radial abduction. Symptoms can come on gradually or be noted suddenly."
fracture of the vertebra,"A compression fracture is a collapse of a vertebra. It may be due to trauma or due to a weakening of the vertebra. This weakening is seen in patients with osteoporosis or osteogenesis imperfecta, lytic lesions from metastatic or primary tumors, or infection. In healthy patients, it is most often seen in individuals suffering extreme vertical shocks, such as ejecting from an ejection seat. Seen in lateral views in plain x-ray films, compression fractures of the spine characteristically appear as wedge deformities, with greater loss of height anteriorly than posteriorly and intact pedicles in the anteroposterior view."
human immunodeficiency virus infection (hiv),"The subtypes of HIV include two main subtypes, known as HIV type 1 (HIV-1) and HIV type 2 (HIV-2). These subtypes have distinct genetic differences and are associated with different epidemiological patterns and clinical characteristics."
mumps,"Mumps is a highly contagious viral disease caused by the mumps virus. Initial symptoms of mumps are non-specific and include fever, headache, malaise, muscle pain, and loss of appetite. These symptoms are usually followed by painful swelling around the side of the face, which is the most common symptom of a mumps infection. Symptoms typically occur 16 to 18 days after exposure to the virus. About one-third of people with a mumps infection do not have any symptoms (asymptomatic)."
subarachnoid hemorrhage,"Subarachnoid hemorrhage (SAH) is bleeding into the subarachnoid space—the area between the arachnoid membrane and the pia mater surrounding the brain. Symptoms may include a severe headache of rapid onset, vomiting, decreased level of consciousness, fever, weakness, numbness, and sometimes seizures. Neck stiffness or neck pain are also relatively common. In about a quarter of people a small bleed with resolving symptoms occurs within a month of a larger bleed."
acute fatty liver of pregnancy (aflp),"Acute fatty liver of pregnancy is a rare life-threatening complication of pregnancy that occurs in the third trimester or the immediate period after delivery. It is thought to be caused by a disordered metabolism of fatty acids by mitochondria in the fetus, caused by long-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency. This leads to decreased metabolism of long chain fatty acids by the feto-placental unit, causing subsequent rise in hepatotoxic fatty acids in maternal plasma. The condition was previously thought to be universally fatal, but aggressive treatment by stabilizing the mother with intravenous fluids and blood products in anticipation of early delivery has improved prognosis."
ectropion,"Ectropion is a medical condition in which the lower eyelid turns outwards. It is one of the notable aspects of newborns exhibiting congenital harlequin-type ichthyosis, but ectropion can occur due to any weakening of tissue of the lower eyelid. The condition can be repaired surgically. Ectropion is also found in dogs as an inherited, developmental condition."
scar,"A scar is an area of fibrous tissue that replaces normal skin after an injury. Scars result from the biological process of wound repair in the skin, as well as in other organs, and tissues of the body. Thus, scarring is a natural part of the healing process. With the exception of very minor lesions, every wound results in some degree of scarring. An exception to this are animals with complete regeneration, which regrow tissue without scar formation."
lactose intolerance,"Lactose intolerance is caused by a lessened ability or a complete inability to digest lactose, a sugar found in dairy products. Humans vary in the amount of lactose they can tolerate before symptoms develop. Symptoms may include abdominal pain, bloating, diarrhea, flatulence, and nausea. These symptoms typically start thirty minutes to two hours after eating or drinking something containing lactose, with the severity typically depending on the amount consumed. Lactose intolerance does not cause damage to the gastrointestinal tract."
eustachian tube dysfunction (ear disorder),Eustachian tube dysfunction (ETD) is a disorder where pressure abnormalities in the middle ear result in symptoms.
appendicitis,"Appendicitis is inflammation of the appendix. Symptoms commonly include right lower abdominal pain, nausea, vomiting, fever and decreased appetite. However, approximately 40% of people do not have these typical symptoms. Severe complications of a ruptured appendix include widespread, painful inflammation of the inner lining of the abdominal wall and sepsis."
graves disease,"Graves' disease, also known as toxic diffuse goiter or Basedow’s disease, is an autoimmune disease that affects the thyroid. It frequently results in and is the most common cause of hyperthyroidism. It also often results in an enlarged thyroid. Signs and symptoms of hyperthyroidism may include irritability, muscle weakness, sleeping problems, a fast heartbeat, poor tolerance of heat, diarrhea and unintentional weight loss. Other symptoms may include thickening of the skin on the shins, known as pretibial myxedema, and eye bulging, a condition caused by Graves' ophthalmopathy. About 25 to 30% of people with the condition develop eye problems."
dissociative disorder,"Dissociative disorders (DDs) are a range of conditions characterized by significant disruptions or fragmentation ""in the normal integration of consciousness, memory, identity, emotion, perception, body representation, motor control, and behavior."" Dissociative disorders involve involuntary dissociation as an unconscious defense mechanism, wherein the individual with a dissociative disorder experiences separation in these areas as a means to protect against traumatic stress. Some dissociative disorders are caused by major psychological trauma, though the onset of depersonalization-derealization disorder may be preceded by less severe stress, by the influence of psychoactive substances, or occur without any discernible trigger."
open wound of the face,"A gunshot wound (GSW) is a penetrating injury caused by a projectile shot from a gun. Damage may include bleeding, bone fractures, organ damage, wound infection, and loss of the ability to move part of the body. Damage depends on the part of the body hit, the path the bullet follows through the body, and the type and speed of the bullet. In severe cases, although not uncommon, the injury is fatal. Long-term complications can include bowel obstruction, failure to thrive, neurogenic bladder and paralysis, recurrent cardiorespiratory distress and pneumothorax, hypoxic brain injury leading to early dementia, amputations, chronic pain and pain with light touch (hyperalgesia), deep venous thrombosis with pulmonary embolus, limb swelling and debility, and lead poisoning."
dislocation of the vertebra,"Spondylolisthesis is when one spinal vertebra slips out of place compared to another. While some medical dictionaries define spondylolisthesis specifically as the forward or anterior displacement of a vertebra over the vertebra inferior to it, it is often defined in medical textbooks as displacement in any direction."
phimosis,"Phimosis is a condition in which the foreskin of the penis cannot stretch to allow it to be pulled back past the glans. A balloon-like swelling under the foreskin may occur with urination. In teenagers and adults, it may result in pain during an erection, but is otherwise not painful. Those affected are at greater risk of inflammation of the glans, known as balanitis, and other complications."
hyperemesis gravidarum,"Hyperemesis gravidarum (HG) is a pregnancy complication that is characterized by severe nausea, vomiting, weight loss, and possibly dehydration. Feeling faint may also occur. It is considered a more severe form of morning sickness. Symptoms often get better after the 20th week of pregnancy but may last the entire pregnancy duration."
pregnancy,"Pregnancy is the time during which one or more offspring develops (gestates) inside a woman's uterus (womb). A multiple pregnancy involves more than one offspring, such as with twins."
thalassemia,"Thalassemias are a group of inherited blood disorders that manifest as the production of reduced hemoglobin. Symptoms depend on the type of thalassemia and can vary from none to severe, including death. Often there is mild to severe anemia as thalassemia can affect the production of red blood cells and also affect how long the red blood cells live. Symptoms include tiredness, pallor, bone problems, an enlarged spleen, jaundice, pulmonary hypertension, and dark urine. Children's' growth and development may be slower than normal."
placenta previa,"Placenta praevia or placenta previa is when the placenta attaches inside the uterus but in a position near or over the cervical opening. Symptoms include vaginal bleeding in the second half of pregnancy. The bleeding is bright red and tends not to be associated with pain. Complications may include placenta accreta, dangerously low blood pressure, or bleeding after delivery. Complications for the baby may include fetal growth restriction."
epidural hemorrhage,"Epidural hematoma is when bleeding occurs between the tough outer membrane covering the brain and the skull. When this condition occurs in the spinal canal, it is known as a spinal epidural hematoma."
septic arthritis,"Acute septic arthritis, infectious arthritis, suppurative arthritis, pyogenic arthritis, osteomyelitis, or joint infection is the invasion of a joint by an infectious agent resulting in joint inflammation. Generally speaking, symptoms typically include redness, heat and pain in a single joint associated with a decreased ability to move the joint. Onset is usually rapid. Other symptoms may include fever, weakness and headache. Occasionally, more than one joint may be involved, especially in neonates, younger children and immunocompromised individuals. In neonates, infants during the first year of life, and toddlers, the signs and symptoms of septic arthritis can be deceptive and mimic other infectious and non-infectious disorders."
athlete's foot,"Athlete's foot, known medically as tinea pedis, is a common skin infection of the feet caused by a fungus. Signs and symptoms often include itching, scaling, cracking and redness. In rare cases the skin may blister. Athlete's foot fungus may infect any part of the foot, but most often grows between the toes. The next most common area is the bottom of the foot. The same fungus may also affect the nails or the hands. It is a member of the group of diseases known as tinea."
pleural effusion,"A pleural effusion is accumulation of excessive fluid in the pleural space, the potential space that surrounds each lung.
Under normal conditions, pleural fluid is secreted by the parietal pleural capillaries at a rate of 0.6 millilitre per kilogram weight per hour, and is cleared by lymphatic absorption leaving behind only 5–15 millilitres of fluid, which helps to maintain a functional vacuum between the parietal and visceral pleurae. Excess fluid within the pleural space can impair inspiration by upsetting the functional vacuum and hydrostatically increasing the resistance against lung expansion, resulting in a fully or partially collapsed lung."
aphakia,"Aphakia is the absence of the lens of the eye, due to surgical removal, such as in cataract surgery, a perforating wound or ulcer, or congenital anomaly. It causes a loss of ability to maintain focus (accommodation), high degree of farsightedness (hyperopia), and a deep anterior chamber. Complications include detachment of the vitreous or retina, and glaucoma."
vulvar disorder,"In mammals, the vulva comprises mostly external, visible structures of the female genitalia leading into the interior of the female reproductive tract. For humans, it includes the mons pubis, labia majora, labia minora, clitoris, vestibule, urinary meatus, vaginal introitus, hymen, and openings of the vestibular glands. The folds of the outer and inner labia provide a double layer of protection for the vagina. Pelvic floor muscles support the structures of the vulva. Other muscles of the urogenital triangle also give support."
sialoadenitis,"Sialadenitis (sialoadenitis) is inflammation of salivary glands, usually the major ones, the most common being the parotid gland, followed by submandibular and sublingual glands. It should not be confused with sialadenosis (sialosis) which is a non-inflammatory enlargement of the major salivary glands."
gynecomastia,"Gynecomastia is the non-cancerous enlargement of one or both breasts in men due to the growth of breast tissue as a result of a hormone imbalance between estrogens and androgens. Physically speaking, gynecomastia is completely benign, but it is associated with significant psychological distress, social stigma, and dysphoria."
urinary tract infection,"A urinary tract infection (UTI) is an infection that affects a part of the urinary tract. Lower urinary tract infections may involve the bladder (cystitis) or urethra (urethritis) while upper urinary tract infections affect the kidney (pyelonephritis). Symptoms from a lower urinary tract infection include suprapubic pain, painful urination (dysuria), frequency and urgency of urination despite having an empty bladder. Symptoms of a kidney infection, on the other hand, are more systemic and include fever or flank pain usually in addition to the symptoms of a lower UTI. Rarely, the urine may appear bloody. Symptoms may be vague or non-specific at the extremities of age."
histoplasmosis,"Histoplasmosis is a fungal infection caused by Histoplasma capsulatum. Symptoms of this infection vary greatly, but the disease affects primarily the lungs. Occasionally, other organs are affected; called disseminated histoplasmosis, it can be fatal if left untreated."
erythema multiforme,"Erythema multiforme (EM) is an immune-mediated inflammatory skin condition associated with several viral infections, that appears with red patches evolving into target lesions, typically on both hands. It is typically associated with infection by either herpes simplex virus or Mycoplasma pneumoniae."
scoliosis,"Scoliosis is a condition in which a person's spine has an irregular curve in the coronal plane. The curve is usually S- or C-shaped over three dimensions. In some, the degree of curve is stable, while in others, it increases over time. Mild scoliosis does not typically cause problems, but more severe cases can affect breathing and movement. Pain is usually present in adults, and can worsen with age. As the condition progresses, it may alter a person's life, and hence can also be considered a disability. It can be compared to kyphosis and lordosis, other abnormal curvatures of the spine which are in the sagittal plane (front-back) rather than the coronal (left-right)."
bunion,"A bunion, also known as hallux valgus, is a deformity of the MTP joint connecting the big toe to the foot. The big toe often bends towards the other toes and the joint becomes red and painful. The onset of bunions is typically gradual. Complications may include bursitis or arthritis."
arrhythmia,"Arrhythmias, also known as cardiac arrhythmias, are irregularities in the heartbeat, including when it is too fast or too slow. Essentially, this is anything but normal sinus rhythm. A resting heart rate that is too fast – above 100 beats per minute in adults – is called tachycardia, and a resting heart rate that is too slow – below 60 beats per minute – is called bradycardia. Some types of arrhythmias have no symptoms. Symptoms, when present, may include palpitations or feeling a pause between heartbeats. In more serious cases, there may be lightheadedness, passing out, shortness of breath, chest pain, or decreased level of consciousness. While most cases of arrhythmia are not serious, some predispose a person to complications such as stroke or heart failure. Others may result in sudden death."
trigeminal neuralgia,"Trigeminal neuralgia, also called Fothergill disease, tic douloureux, trifacial neuralgia, is a long-term pain disorder that affects the trigeminal nerve, the nerve responsible for sensation in the face and motor functions such as biting and chewing. It is a form of neuropathic pain. There are two main types: typical and atypical trigeminal neuralgia."
ankylosing spondylitis,"Ankylosing spondylitis (AS) is a type of arthritis from the disease spectrum of axial spondyloarthritis. It is characterized by long-term inflammation of the joints of the spine, typically where the spine joins the pelvis. With AS, eye and bowel problems—as well as back pain—may occur. Joint mobility in the affected areas sometimes worsens over time.
Ankylosing spondylitis is believed to involve a combination of genetic and environmental factors. More than 90% of people affected in the UK have a specific human leukocyte antigen known as the HLA-B27 antigen. The underlying mechanism is believed to be autoimmune or autoinflammatory. Diagnosis is based on symptoms with support from medical imaging and blood tests. AS is a type of seronegative spondyloarthropathy, meaning that tests show no presence of rheumatoid factor (RF) antibodies."
peripheral nerve disorder,"Cramp fasciculation syndrome (CFS) is a rare peripheral nerve hyperexcitability disorder. It is more severe than the related disorder known as benign fasciculation syndrome; it causes fasciculations, cramps, pain, fatigue, and muscle stiffness similar to those seen in neuromyotonia. Patients with CFS, like those with neuromyotonia, may also experience paresthesias.
Most cases of cramp fasciculation syndrome are idiopathic, although some research points to an autoimmune component that may be partly genetic in etiology.
Cramp fasciculation syndrome is diagnosed by clinical examination and electromyography (EMG). Fasciculation is the only abnormality seen with EMG.
Cramp fasciculation syndrome is a chronic condition. Treatment options include anti-seizure medications such as carbamazepine, immunosuppressive drugs and plasmapheresis."
sebaceous cyst,"A sebaceous cyst is a term commonly used to refer to either:Epidermoid cysts 
Pilar cysts "
poisoning due to antipsychotics,"Lithium toxicity, also known as lithium overdose, is the condition of having too much lithium. Symptoms may include a tremor, increased reflexes, trouble walking, kidney problems, and an altered level of consciousness. Some symptoms may last for a year after levels return to normal. Complications may include serotonin syndrome."
neurosis,"Neurosis is a term mainly used today by followers of Freudian thinking to describe mental disorders caused by past anxiety, often that has been repressed. In recent history, the term has been used to refer to anxiety-related conditions more generally."
prostate cancer,"Prostate cancer is the uncontrolled growth of cells in the prostate, a gland in the male reproductive system below the bladder. Abnormal growth of the prostate tissue is usually detected through screening tests, typically blood tests that check for prostate-specific antigen (PSA) levels. Those with high levels of PSA in their blood are at increased risk for developing prostate cancer. Diagnosis requires a biopsy of the prostate. If cancer is present, the pathologist assigns a Gleason score; a higher score represents a more dangerous tumor. Medical imaging is performed to look for cancer that has spread outside the prostate. Based on the Gleason score, PSA levels, and imaging results, a cancer case is assigned a stage 1 to 4. A higher stage signifies a more advanced, more dangerous disease."
cerebral edema,"Cerebral edema is excess accumulation of fluid (edema) in the intracellular or extracellular spaces of the brain. This typically causes impaired nerve function, increased pressure within the skull, and can eventually lead to direct compression of brain tissue and blood vessels. Symptoms vary based on the location and extent of edema and generally include headaches, nausea, vomiting, seizures, drowsiness, visual disturbances, dizziness, and in severe cases, death."
dislocation of the finger,"Jammed finger is a common term used to describe various types of finger joint injuries. It happens from a forceful impact originating at the tip of the finger directed towards the base. This type of directional force is called axial loading. It occurs most often when the finger is fully extended. This kind of impact can stretch or strain the ligaments in the joint beyond their normal limits. The severity of damage to the finger increases with the amount of force on the fingertip. In severe cases, injury to bone may occur. When experiencing a jammed finger, the extent of injury is not always obvious and one should be evaluated by a medical professional. Toes may become jammed as well, with similar results."
birth trauma,"Birth trauma refers to damage of the tissues and organs of a newly delivered child, often as a result of physical pressure or trauma during childbirth. It encompasses the long term consequences, often of cognitive nature, of damage to the brain or cranium. Medical study of birth trauma dates to the 16th century, and the morphological consequences of mishandled delivery are described in Renaissance-era medical literature. Birth injury occupies a unique area of concern and study in the medical canon. In ICD-10 ""birth trauma"" occupied 49 individual codes (P10–Р15)."
chronic pancreatitis,"Chronic pancreatitis is a long-standing inflammation of the pancreas that alters the organ's normal structure and functions. It can present as episodes of acute inflammation in a previously injured pancreas, or as chronic damage with persistent pain or malabsorption. It is a disease process characterized by irreversible damage to the pancreas as distinct from reversible changes in acute pancreatitis. Tobacco smoke and alcohol misuse are two of the most frequently implicated causes, and the two risk factors are thought to have a synergistic effect with regards to the development of chronic pancreatitis. Chronic pancreatitis is a risk factor for the development of pancreatic cancer."
hematoma,"A hematoma, also spelled haematoma, or blood suffusion is a localized bleeding outside of blood vessels, due to either disease or trauma including injury or surgery and may involve blood continuing to seep from broken capillaries. A hematoma is benign and is initially in liquid form spread among the tissues including in sacs between tissues where it may coagulate and solidify before blood is reabsorbed into blood vessels. An ecchymosis is a hematoma of the skin larger than 10 mm."
carcinoid syndrome,"Carcinoid syndrome is a paraneoplastic syndrome comprising the signs and symptoms that occur secondary to neuroendocrine tumors. The syndrome is caused by neuroendocrine tumors most often found in the gut releasing biologically active substances into the blood causing symptoms such as flushing and diarrhea, and less frequently, heart failure, vomiting and bronchoconstriction."
open wound of the head,"Head Wound City is an American hardcore punk supergroup consisting of Jordan Blilie and Cody Votolato both of The Blood Brothers, Nick Zinner of the Yeah Yeah Yeahs, and Justin Pearson and Gabe Serbian, both of The Locust."
seborrheic keratosis,"A seborrheic keratosis is a non-cancerous (benign) skin tumour that originates from cells, namely keratinocytes, in the outer layer of the skin called the epidermis. Like liver spots, seborrheic keratoses are seen more often as people age."
burn,"A burn is an injury to skin, or other tissues, caused by heat, cold, electricity, chemicals, friction, or ionizing radiation. Most burns are due to heat from hot liquids, solids, or fire. Burns occur mainly in the home or the workplace. In the home, risks are associated with domestic kitchens, including stoves, flames, and hot liquids. In the workplace, risks are associated with fire and chemical and electric burns. Alcoholism and smoking are other risk factors. Burns can also occur as a result of self-harm or violence between people (assault)."
spontaneous abortion,"Miscarriage, also known in medical terms as a spontaneous abortion, is an end to pregnancy resulting in the loss and expulsion of an embryo or fetus from the womb before it can survive independently. Miscarriage before 6 weeks of gestation is defined as biochemical loss by ESHRE. Once ultrasound or histological evidence shows that a pregnancy has existed, the term used is clinical miscarriage, which can be ""early"" or ""late"". Spontaneous fetal termination after 20 weeks of gestation is known as a stillbirth. The term miscarriage is sometimes used to refer to all forms of pregnancy loss and pregnancy with abortive outcomes before 20 weeks of gestation."
genital herpes,"Genital herpes is a herpes infection of the genitals caused by the herpes simplex virus (HSV). Most people either have no or mild symptoms and thus do not know they are infected. When symptoms do occur, they typically include small blisters that break open to form painful ulcers. Flu-like symptoms, such as fever, aching, or swollen lymph nodes, may also occur. Onset is typically around 4 days after exposure with symptoms lasting up to 4 weeks. Once infected further outbreaks may occur but are generally milder."
adjustment reaction,"Adjustment disorder is a mental and behavioral disorder defined by a maladaptive response to a psychosocial stressor. The maladaptive response usually involves otherwise normal emotional and behavioral reactions that manifest more intensely than usual, causing marked distress, preoccupation with the stressor and its consequences, and functional impairment."
gallstone,"A gallstone is a stone formed within the gallbladder from precipitated bile components. The term cholelithiasis may refer to the presence of gallstones or to any disease caused by gallstones, and choledocholithiasis refers to the presence of migrated gallstones within bile ducts."
multiple sclerosis,"Multiple sclerosis (MS) is an autoimmune disease resulting in damage to the insulating covers of nerve cells in the brain and spinal cord. As a demyelinating disease, MS disrupts the nervous system's ability to transmit signals, resulting in a range of signs and symptoms, including physical, mental, and sometimes psychiatric problems. Symptoms include double vision, vision loss, eye pain, muscle weakness, and loss of sensation or coordination. MS takes several forms, with new symptoms either occurring in isolated attacks or building up over time. In relapsing forms of MS symptoms may disappear completely between attacks, although some permanent neurological problems often remain, especially as the disease advances. In progressive forms of MS, bodily function slowly deteriorates once symptoms manifest and will steadily worsen if left untreated."
zenker diverticulum,"A Zenker's diverticulum, also pharyngeal pouch, is a diverticulum of the mucosa of the human pharynx, just above the cricopharyngeal muscle. It is a pseudo diverticulum or false diverticulum, also known as a pulsion diverticulum."
fracture of the pelvis,"A pelvic fracture is a break of the bony structure of the pelvis. This includes any break of the sacrum, hip bones, or tailbone. Symptoms include pain, particularly with movement. Complications may include internal bleeding, injury to the bladder, or vaginal trauma."
pneumoconiosis,"Pneumoconiosis is the general term for a class of interstitial lung disease where inhalation of dust has caused interstitial fibrosis. The three most common types are asbestosis, silicosis, and coal miner's lung. Pneumoconiosis often causes restrictive impairment, although diagnosable pneumoconiosis can occur without measurable impairment of lung function. Depending on extent and severity, it may cause death within months or years, or it may never produce symptoms. It is usually an occupational lung disease, typically from years of dust exposure during work in mining; textile milling; shipbuilding, ship repairing, and/or shipbreaking; sandblasting; industrial tasks; rock drilling ; or agriculture. It is one of the most common occupational diseases in the world."
hyperlipidemia,Hyperlipidemia is abnormally high levels of any or all lipids or lipoproteins in the blood. The term hyperlipidemia refers to the laboratory finding itself and is also used as an umbrella term covering any of various acquired or genetic disorders that result in that finding. Hyperlipidemia represents a subset of dyslipidemia and a superset of hypercholesterolemia. Hyperlipidemia is usually chronic and requires ongoing medication to control blood lipid levels.
ulcerative colitis,"Ulcerative colitis (UC) is one of the two types of inflammatory bowel disease (IBD), with the other type being Crohn's disease. It is a long-term condition that results in inflammation and ulcers of the colon and rectum. The primary symptoms of active disease are abdominal pain and diarrhea mixed with blood (hematochezia). Weight loss, fever, and anemia may also occur. Often, symptoms come on slowly and can range from mild to severe. Symptoms typically occur intermittently with periods of no symptoms between flares. Complications may include abnormal dilation of the colon (megacolon), inflammation of the eye, joints, or liver, and colon cancer."
male genitalia infection,"In mammals, the vulva comprises mostly external, visible structures of the female genitalia leading into the interior of the female reproductive tract. For humans, it includes the mons pubis, labia majora, labia minora, clitoris, vestibule, urinary meatus, vaginal introitus, hymen, and openings of the vestibular glands. The folds of the outer and inner labia provide a double layer of protection for the vagina. Pelvic floor muscles support the structures of the vulva. Other muscles of the urogenital triangle also give support."
hpv,"Human papillomavirus infection is caused by a DNA virus from the Papillomaviridae family. Many HPV infections cause no symptoms and 90% resolve spontaneously within two years. In some cases, an HPV infection persists and results in either warts or precancerous lesions. These lesions, depending on the site affected, increase the risk of cancer of the cervix, vulva, vagina, penis, anus, mouth, tonsils, or throat. Nearly all cervical cancer is due to HPV, and two strains – HPV16 and HPV18 – account for 70% of all cases. HPV16 is responsible for almost 90% of HPV-positive oropharyngeal cancers. Between 60% and 90% of the other cancers listed above are also linked to HPV. HPV6 and HPV11 are common causes of genital warts and laryngeal papillomatosis."
angina,"Angina, also known as angina pectoris, is chest pain or pressure, usually caused by insufficient blood flow to the heart muscle (myocardium). It is most commonly a symptom of coronary artery disease."
injury to the spinal cord,"A spinal cord injury (SCI) is damage to the spinal cord that causes temporary or permanent changes in its function. It is a destructive neurological and pathological state that causes major motor, sensory and autonomic dysfunctions."
nasal polyp,"Nasal polyps are noncancerous growths within the nose or sinuses. Symptoms include trouble breathing through the nose, loss of smell, decreased taste, post nasal drip, and a runny nose. The growths are sac-like, movable, and nontender, though face pain may occasionally occur. They typically occur in both nostrils in those who are affected. Complications may include sinusitis and broadening of the nose."
lichen simplex,"Lichen simplex chronicus (LSC) is thick leathery skin with exaggerated skin markings caused by sudden itching and excessive rubbing and scratching. It generally results in small bumps, patches, scratch marks and scale. It typically affects the neck, scalp, upper eyelids, ears, palms, soles, ankles, wrists, genital areas and bottom. It often develops gradually and the scratching becomes a habit."
trichiasis,"Trichiasis is a medical term for abnormally positioned eyelashes that grow back toward the eye, touching the cornea or conjunctiva. This can be caused by infection, inflammation, autoimmune conditions, congenital defects, eyelid agenesis and trauma such as burns or eyelid injury."
acariasis,"Acariasis is a medical condition characterized by infestation of human or animal tissues by mites., a diverse group of microscopic arthropods belonging to the order Acari. This condition can manifest in multiple ways, ranging from skin-related disorders to potentially invasive infections affecting various bodily systems. Unlike many parasitic infestations, acariasis is not limited to cutaneous manifestations and can impact internal organs, including the gastrointestinal and respiratory tracts."
colorectal cancer,"Colorectal cancer (CRC), also known as bowel cancer, colon cancer, or rectal cancer, is the development of cancer from the colon or rectum. Signs and symptoms may include blood in the stool, a change in bowel movements, weight loss, abdominal pain and fatigue. Most colorectal cancers are due to lifestyle factors and genetic disorders. Risk factors include diet, obesity, smoking, and lack of physical activity. Dietary factors that increase the risk include red meat, processed meat, and alcohol. Another risk factor is inflammatory bowel disease, which includes Crohn's disease and ulcerative colitis. Some of the inherited genetic disorders that can cause colorectal cancer include familial adenomatous polyposis and hereditary non-polyposis colon cancer; however, these represent less than 5% of cases. It typically starts as a benign tumor, often in the form of a polyp, which over time becomes cancerous."
skin pigmentation disorder,"Pigmentation disorders are disturbances of human skin color. There may be a loss or reduction, which may be related to loss of melanocytes or the inability of melanocytes to produce melanin or transport melanosomes correctly."
factitious disorder,"A factitious disorder is a mental disorder in which a person, without a malingering motive, acts as if they have an illness by deliberately producing, feigning, or exaggerating symptoms, purely to attain a patient's role. People with a factitious disorder may produce symptoms by contaminating urine samples, taking hallucinogens, injecting fecal material to produce abscesses, and similar behaviour. The word factitious derives from the Latin word factītius, meaning ""human-made""."
lymphogranuloma venereum,"Lymphogranuloma venereum is a sexually transmitted infection caused by the invasive serovars L1, L2, L2a, L2b, or L3 of Chlamydia trachomatis."
